  iteration                 mu_1   mu_2                 mu_3   LogLihood   
                                                                           
  1                           32      9                   42   -4.7658e+1  
  2           31.250076606101906     10    40.00003026226847   -3.9533e+1  
  3           31.246061217094464     10   39.993014836303594   -3.9533e+1  


  i   x_i   P(cls 1 | x_i)   P(cls 2 | x_i)   P(cls 3 | x_i)  
                                                              
  0    35        9.9559e-1      2.1933e-133        4.4117e-3  
  1    42       5.7836e-25      3.2801e-222        1.0000e+0  
  2     9      5.6722e-108        1.0000e+0      4.2922e-209  
  3    38       9.0617e-10      4.1600e-170        1.0000e+0  
  4    27        1.0000e+0       1.4435e-59       1.8051e-33  
  5    31        1.0000e+0       1.7833e-96       2.8282e-18  
  6    11       1.6138e-89        1.0000e+0      4.8337e-183  
  7    40       2.2893e-17      3.6940e-196        1.0000e+0  
  8    32        1.0000e+0      1.0572e-105       1.7794e-14  
